parc	rep	bl	trt	trt_id	row	col	DH_SR_FI	GY_SR_FI	NLS_SR_FI	TKW_SR_FI	DH_SR_MWS	GY_SR_MWS	NLS_SR_MWS	TKW_SR_MWS
1	1	1	275	275	1	1	77	7860	40	40.98	76	4006	39	31.51
2	1	1	325	325	1	2	76	7233.5	42	46.48	75	3933	38	40.65
3	1	1	119	119	1	3	79	6996	45	50.6	75	4036	32	37.76
4	1	1	138	138	1	4	76	6795	48	55.05	75	2782.5	40	48.56
5	1	1	296	296	1	5	81	8630	51	41.9	78	4464	39	37.79
6	1	1	257	257	1	6	80	5278	44	45.1	77	3017	35	38.53
7	1	1	50	50	1	7	82	8357	43	52.44	78	4370	44	47.53
8	1	1	150	150	1	8	82	7797	51	53.71	77	4404.5	39	44.82
9	1	1	400	279	1	9	87	10018	51	39.99	82	4502.5	47	34.29
10	1	1	168	168	1	10	78	8989.5	45	54.82	75	4378	41	49
11	1	1	221	221	1	11	79	8353	42	47.3	76	4796.5	33	40.4
12	1	1	97	97	1	12	79	8127.5	43	50.05	76	6294.5	45	43.8
13	1	1	1	1	1	13	79	10196.5	65	47.46	79	8223	54	45.79
14	1	1	237	237	1	14	80	11416.5	56	48.11	78	8075	49	46.37
15	1	1	269	269	1	15	79	10518.5	54	43.79	78	8545	45	44.39
16	1	1	134	134	1	16	80	9610	53	55.11	78	8472	45	51.74
17	1	1	155	155	1	17	78	8268.5	47	55.26	75	6875.5	39	49.96
18	1	1	253	253	1	18	83	8650.5	46	41.09	80	6678	45	39.04
19	1	1	122	122	1	19	78	9587	49	59.88	75	7192	44	54.2
20	1	1	77	77	1	20	78	10018.5	54	50.16	76	6585	46	43.93
21	1	2	295	295	2	20	102	6987.5	38	42.13	99	7381.5	NA	NA
22	1	2	69	69	2	19	73	7751.5	47	56.46	75	7478	43	53.93
23	1	2	290	290	2	18	79	9346	56	42.81	79	8004.5	52	41.32
24	1	2	352	352	2	17	85	9833.5	38	41.05	82	9048	35	38.46
25	1	2	387	278	2	16	83	12179	39	47.11	81	9987	39	42.5
26	1	2	277	277	2	15	86	11122	48	43.86	85	8538.5	44	40.07
27	1	2	123	123	2	14	82	11563.5	51	53.57	80	6457	49	46.11
28	1	2	393	279	2	13	87	9994	52	38.01	84	5478	49	32.88
29	1	2	347	347	2	12	88	9602.5	51	38.72	85	5855.5	47	32.57
30	1	2	175	175	2	11	76	8033	39	49.85	74	3532.5	34	39.96
31	1	2	153	153	2	10	78	8576	48	53.07	75	3300.5	32	43.88
32	1	2	243	243	2	9	87	9310	46	48.67	82	2926	37	32.52
33	1	2	178	178	2	8	73	7584.5	47	52.81	72	3601	36	43.61
34	1	2	145	145	2	7	76	8699.5	50	62.02	74	3950	40	45.78
35	1	2	228	228	2	6	82	7245.5	45	42.39	80	3603.5	42	32.1
36	1	2	326	326	2	5	79	7624	46	46.41	76	3737.5	36	34.6
37	1	2	137	137	2	4	79	6877.5	51	51.79	76	3440	39	40.33
38	1	2	217	217	2	3	80	8619.5	51	48.42	76	4252	42	34.62
39	1	2	48	48	2	2	76	8486.5	47	51.31	76	4485	39	44.06
40	1	2	369	369	2	1	80	11643.5	48	42.31	79	6088.5	39	33.33
41	1	3	29	29	3	1	81	8019	45	49.78	78	5771	43	43.77
42	1	3	100	100	3	2	80	9405	45	56.31	78	6044.5	44	48.91
43	1	3	297	297	3	3	86	8100	45	43.13	86	5691	45	34.21
44	1	3	246	246	3	4	78	7974	46	47.38	76	4046	44	39.64
45	1	3	247	247	3	5	79	9203.5	52	46.77	76	4437.5	39	37.55
46	1	3	113	113	3	6	80	9219	52	55.48	77	4105.5	40	43.57
47	1	3	51	51	3	7	76	10147.5	52	60.08	75	4075.5	36	50.36
48	1	3	305	305	3	8	78	8523	46	46.67	76	3992	37	39.61
49	1	3	11	11	3	9	81	11389.5	54	50.08	77	4135.5	41	37.05
50	1	3	391	278	3	10	82	12370	43	43.98	77	4943	32	34.43
51	1	3	163	163	3	11	77	9790.5	49	54.4	73	3824	40	40.29
52	1	3	141	141	3	12	77	7757	42	50.22	76	2726.5	36	40.79
53	1	3	179	179	3	13	74	10570.5	58	52.28	72	4420	42	42.87
54	1	3	307	307	3	14	76	9436	50	47.45	73	5882	NA	NA
55	1	3	79	79	3	15	78	11159	52	51.54	76	7318.5	44	48.54
56	1	3	126	126	3	16	79	10707.5	45	49.33	77	6512	43	49.74
57	1	3	301	301	3	17	86	9079	37	36.7	82	8155.5	37	36.43
58	1	3	291	291	3	18	87	11463.5	52	40.89	83	10143.5	48	37.1
59	1	3	279	279	3	19	87	10286.5	57	38.64	85	8610	57	38.08
60	1	3	258	258	3	20	82	8757.5	37	36.98	79	9222.5	40	38.93
61	1	4	166	166	4	20	76	10951.5	53	41.89	75	8778	50	39.36
62	1	4	95	95	4	19	78	10551	52	46.77	76	7852	50	47.57
63	1	4	262	262	4	18	87	10906.5	41	46.44	85	7399	37	41.23
64	1	4	324	324	4	17	80	8819.5	44	41.95	76	5201.5	32	36.87
65	1	4	327	327	4	16	73	10923	46	40.03	75	4499.5	34	35.48
66	1	4	304	304	4	15	83	9582	47	43.57	80	4231	33	35.04
67	1	4	87	87	4	14	79	12992	44	61.29	77	4209.5	39	41.2
68	1	4	59	59	4	13	79	11850	54	50.1	76	4305.5	44	40.16
69	1	4	388	278	4	12	82	11422	41	44.47	78	4851	35	37.29
70	1	4	83	83	4	11	73	8857.5	46	55.54	72	3873.5	37	40.7
71	1	4	194	194	4	10	82	8697.5	54	64.78	77	2810.5	42	51.74
72	1	4	318	318	4	9	79	10359.5	48	38.27	77	5090	40	33.87
73	1	4	261	261	4	8	81	10048.5	36	40.99	79	5668.5	36	34.15
74	1	4	99	99	4	7	80	8721	52	50.14	77	4748	48	44.4
75	1	4	65	65	4	6	79	9092.5	47	49.49	77	4775	45	43.79
76	1	4	357	357	4	5	79	8878.5	38	39.76	77	4480.5	32	37.48
77	1	4	316	316	4	4	76	5504	45	38.16	75	4361.5	38	40.26
78	1	4	209	209	4	3	81	NA	55	42.44	80	NA	33	37.55
79	1	4	152	152	4	2	76	8862	51	48.1	75	4891	44	44.87
80	1	4	276	276	4	1	86	10864.5	47	42.52	84	7367.5	45	39.3
81	1	5	343	343	5	1	87	9998.5	41	39.67	86	7071	38	37.64
82	1	5	63	63	5	2	76	10132	50	48.73	76	6406.5	43	48.78
83	1	5	70	70	5	3	76	8846	49	55.97	75	5316.5	39	55.98
84	1	5	94	94	5	4	77	9215.5	50	48.06	76	5395.5	41	46.54
85	1	5	30	30	5	5	75	7631.5	51	47.93	76	4338	44	56.02
86	1	5	202	202	5	6	82	7455	37	45.99	79	4403	28	40.44
87	1	5	289	289	5	7	86	8787	38	51.28	82	5679.5	35	44.94
88	1	5	220	220	5	8	81	8881	35	42.46	78	4947	26	40.99
89	1	5	35	35	5	9	79	9661	52	42.19	78	5317	45	39.12
90	1	5	213	213	5	10	86	8074.5	45	33.63	84	5757	41	29.72
91	1	5	147	147	5	11	74	9112.5	41	46.85	72	4526	35	44.5
92	1	5	2	2	5	12	80	10315	56	47.19	78	5142.5	46	40.48
93	1	5	218	218	5	13	72	9460.5	40	44	71	3919.5	31	32.09
94	1	5	203	203	5	14	82	10120	51	44.51	79	4111	50	32.85
95	1	5	380	380	5	15	81	9886.5	46	45.12	79	3455.5	38	35.5
96	1	5	110	110	5	16	79	10574	43	49.92	77	4463.5	37	42.23
97	1	5	386	278	5	17	82	11017	41	44.67	78	5734	37	37.31
98	1	5	248	248	5	18	84	9509	47	39.73	78	3146	33	34.85
99	1	5	303	303	5	19	82	9854.5	47	34.65	78	5382.5	39	31.11
100	1	5	43	43	5	20	80	11219	47	50.14	78	5911.5	46	45.25
101	1	6	395	279	6	20	86	8874.5	63	40.76	85	4745.5	43	31.11
102	1	6	232	232	6	19	82	10342	44	43.79	79	5344.5	38	31.78
103	1	6	72	72	6	18	77	9612	62	48.37	76	4359	43	40.19
104	1	6	184	184	6	17	80	9381	53	52.06	76	4290	41	41.56
105	1	6	18	18	6	16	79	9181	50	49.51	76	5175	53	33.95
106	1	6	96	96	6	15	80	8158.5	45	49.79	77	4599.5	43	39.24
107	1	6	240	240	6	14	84	8139	49	41.71	82	5150.5	46	32.25
108	1	6	335	335	6	13	79	8374	47	41.66	76	5307.5	44	35.69
109	1	6	374	374	6	12	80	9588.5	42	46.78	76	5831.5	41	38.03
110	1	6	340	340	6	11	85	8318.5	44	39.62	83	6145	41	38.15
111	1	6	131	131	6	10	77	10455.5	54	53.97	76	5080.5	43	44.13
112	1	6	376	376	6	9	100	9559	44	36.44	99	6175.5	34	33.63
113	1	6	280	280	6	8	76	9615	51	39.2	75	6212.5	43	38.87
114	1	6	159	159	6	7	77	8436	44	55.68	77	5509.5	43	50.18
115	1	6	10	10	6	6	80	10071	57	49.8	77	6215	45	50.48
116	1	6	227	227	6	5	85	10721.5	50	53.69	83	6880	48	47.46
117	1	6	341	341	6	4	82	11655.5	47	42.26	79	6551	49	37.75
118	1	6	81	81	6	3	75	9934	59	50.16	74	6604.5	47	45.48
119	1	6	53	53	6	2	76	10382	58	46.77	77	6655	56	44.63
120	1	6	185	185	6	1	79	7828	41	57.84	79	4855.5	42	51
121	1	7	355	355	7	1	80	6997.5	40	45.24	79	6447	42	39.79
122	1	7	317	317	7	2	79	6465.5	45	40.52	79	7067	43	36.93
123	1	7	383	383	7	3	82	5241	35	42.1	80	5115	36	36.4
124	1	7	121	121	7	4	76	7517	49	51.97	76	6639.5	47	44.68
125	1	7	9	9	7	5	76	7765	50	44.46	76	7245.5	49	37.99
126	1	7	114	114	7	6	75	7533	44	57.6	75	5472	40	53.35
127	1	7	309	309	7	7	83	8870	40	45.89	82	6360	30	36.48
128	1	7	188	188	7	8	81	9303.5	48	50.44	78	5877.5	45	46.92
129	1	7	379	379	7	9	79	10356.5	63	46.06	76	5121.5	52	41.61
130	1	7	129	129	7	10	79	8236.5	43	51.47	78	6080	38	45.19
131	1	7	236	236	7	11	80	10109	52	48.19	78	6455	43	43.01
132	1	7	192	192	7	12	80	9191	58	57.39	77	6487	52	48.09
133	1	7	111	111	7	13	79	7902.5	42	45.16	76	6191	52	43.51
134	1	7	389	278	7	14	81	10984	55	52.57	79	8944	40	40.47
135	1	7	128	128	7	15	80	10733.5	57	40.86	77	7835	43	42.08
136	1	7	16	16	7	16	80	8935	45	55.67	76	7388	39	48.41
137	1	7	74	74	7	17	80	10779.5	49	55.75	77	6606.5	42	46.95
138	1	7	219	219	7	18	74	9169	44	47.43	74	5434	36	33.87
139	1	7	215	215	7	19	81	9007	43	47	79	6374	40	36.35
140	1	7	250	250	7	20	79	7993.5	36	37.49	76	5702	33	33.36
141	1	8	104	104	8	20	77	10657	49	55.29	76	6788	41	48.18
142	1	8	13	13	8	19	79	9838.5	64	40.27	82	6812.5	54	40.31
143	1	8	239	239	8	18	83	10424	58	47.64	76	5798.5	49	37.15
144	1	8	102	102	8	17	79	10903	52	47.32	78	6875.5	45	42.6
145	1	8	156	156	8	16	80	7929	48	54.65	78	5930.5	42	46.77
146	1	8	57	57	8	15	76	8759.5	42	55.44	75	6424	39	51.95
147	1	8	398	279	8	14	86	9325.5	58	39.21	85	6195	49	34.15
148	1	8	323	323	8	13	79	8717.5	49	47.21	78	3826	40	35.71
149	1	8	201	201	8	12	76	9478	43	49.82	76	5879	36	44.4
150	1	8	52	52	8	11	81	8895	61	41.57	79	4771.5	45	37.71
151	1	8	255	255	8	10	79	9300.5	37	47.4	78	4616	26	38.86
152	1	8	273	273	8	9	79	9949	34	46.63	79	5436.5	30	39.15
153	1	8	224	224	8	8	80	7030	53	43.82	79	4083	43	37
154	1	8	329	329	8	7	76	7340	38	42.35	76	5048	32	39.64
155	1	8	154	154	8	6	77	5452	50	48.94	77	4293.5	49	41.56
156	1	8	167	167	8	5	76	5635.5	55	55.43	77	3963.5	46	49.47
157	1	8	130	130	8	4	74	4968.5	33	51.31	74	4685.5	39	44.86
158	1	8	169	169	8	3	77	4917	44	55.58	77	4812	42	49.1
159	1	8	120	120	8	2	83	5074.5	59	45.7	82	3830	55	35.33
160	1	8	284	284	8	1	84	6906.5	45	40.87	85	3511	38	26.77
161	1	9	133	133	9	1	79	7994	52	48.65	78	5947	45	46.6
162	1	9	353	353	9	2	79	8527	37	42.77	77	5655	45	25.12
163	1	9	132	132	9	3	79	6604	45	53.91	77	4461	36	39.64
164	1	9	88	88	9	4	77	7068	47	56.13	77	4297	41	48.24
165	1	9	313	313	9	5	82	6353	49	39.12	82	4676.5	37	27.48
166	1	9	20	20	9	6	81	6468	68	37.68	81	5189.5	55	30.35
167	1	9	61	61	9	7	76	4872	41	44.58	76	4318.5	39	38.9
168	1	9	27	27	9	8	75	5443.5	45	55.54	75	4078.5	44	49.36
169	1	9	394	279	9	9	84	5979	52	38.69	86	4189	49	32.57
170	1	9	286	286	9	10	100	6592	52	37.01	99	2817.5	37	38.06
171	1	9	8	8	9	11	77	8417	54	51.02	78	4882	42	39.88
172	1	9	382	382	9	12	76	9764	40	40.71	76	5431	39	33.76
173	1	9	195	195	9	13	82	7319	54	62.13	78	3661	41	47.93
174	1	9	234	234	9	14	83	8614	50	46.46	81	4094	37	32.28
175	1	9	80	80	9	15	76	8828.5	65	48.81	76	4734	51	42.79
176	1	9	392	278	9	16	82	10422	45	44.04	79	7036	38	35.12
177	1	9	17	17	9	17	84	9404	50	43.44	81	5599.5	38	35.15
178	1	9	315	315	9	18	74	7950.5	47	39.74	72	5238.5	38	32.34
179	1	9	233	233	9	19	83	8237	41	49.03	80	6020.5	34	38.72
180	1	9	319	319	9	20	84	10439.5	53	40.14	79	6586	39	34.08
181	1	10	6	6	10	20	86	9144	53	45.95	81	6180	48	39.37
182	1	10	107	107	10	19	77	11146	46	53.32	76	6884.5	44	44.9
183	1	10	157	157	10	18	79	5711.5	60	53.42	77	3531.5	47	42.16
184	1	10	251	251	10	17	81	9832.5	39	41.18	77	4921.5	34	32.17
185	1	10	164	164	10	16	76	9547	49	48.55	76	5200	47	38.12
186	1	10	115	115	10	15	76	7755.5	41	56.44	75	4556	37	40.43
187	1	10	149	149	10	14	76	7619	42	56.33	76	4248.5	42	40.3
188	1	10	170	170	10	13	79	7567	54	49.32	77	4546	50	41.56
189	1	10	294	294	10	12	79	6390.5	47	43.89	81	4832	43	34.73
190	1	10	348	348	10	11	80	7811.5	33	42.39	81	5822.5	36	32.46
191	1	10	372	372	10	10	77	5197	39	39.49	78	3946	39	36.51
192	1	10	214	214	10	9	79	NA	36	36.27	78	4499	30	32.21
193	1	10	101	101	10	8	77	NA	46	45.99	78	4806.5	45	39.92
194	1	10	282	282	10	7	84	5940.5	41	39.11	86	4293.5	33	33.01
195	1	10	259	259	10	6	85	4136	46	38.66	82	3140	32	32.18
196	1	10	19	19	10	5	80	6614	41	47.16	79	4788.5	45	43.96
197	1	10	189	189	10	4	79	7063.5	45	48.05	77	5018.5	38	42.32
198	1	10	223	223	10	3	80	6541	37	35.16	79	4478.5	30	31.18
199	1	10	193	193	10	2	78	6062	55	51.58	77	3952.5	45	43.43
200	1	10	180	180	10	1	78	6441.5	54	45.6	77	4008	45	37.7
201	1	11	260	260	11	1	107	4833	NA	NA	105	688	28	28.48
202	1	11	299	299	11	2	76	5696.5	31	45.26	75	3934	28	37.18
203	1	11	321	321	11	3	76	5589.5	40	37.92	76	3985.5	38	33.34
204	1	11	212	212	11	4	84	7837	50	33.65	84	4140	46	26.48
205	1	11	84	84	11	5	78	7797	53	50.51	77	4500.5	48	40.45
206	1	11	5	5	11	6	84	7325	40	44.18	84	4926.5	43	38.28
207	1	11	139	139	11	7	75	5681.5	48	53.71	76	4410.5	46	49.16
208	1	11	200	200	11	8	77	6506.5	46	39.11	77	4566	45	32.31
209	1	11	363	363	11	9	82	5415	34	32.09	83	3990	31	29.02
210	1	11	339	339	11	10	74	5557.5	32	41.62	74	4702	34	35.74
211	1	11	15	15	11	11	76	5943	42	45.08	79	5028	47	40.55
212	1	11	241	241	11	12	84	5250	47	31.58	81	3907	48	26.3
213	1	11	109	109	11	13	76	5392	45	44.01	77	4556.5	43	38.86
214	1	11	25	25	11	14	76	7239	52	45.29	77	5450.5	50	37.44
215	1	11	199	199	11	15	80	6800.5	37	28.51	80	4652	33	24.66
216	1	11	367	367	11	16	75	8139	41	36.59	75	4519.5	35	31.8
217	1	11	205	205	11	17	82	5564.5	54	48.92	82	3258	48	40.08
218	1	11	271	271	11	18	84	12698.5	56	39.88	83	5245	46	28.86
219	1	11	330	330	11	19	76	8652.5	45	38.47	76	4536	36	32.81
220	1	11	266	266	11	20	76	11441.5	50	52.36	76	6097	46	44.49
221	1	12	7	7	12	20	83	8977	51	44.9	81	5395	48	38.1
222	1	12	252	252	12	19	83	9373.5	47	45.37	81	4873	45	34.66
223	1	12	124	124	12	18	76	8808.5	45	55.35	76	4225	41	46.93
224	1	12	56	56	12	17	77	9231	49	52.62	76	4852	45	53.01
225	1	12	106	106	12	16	77	9682.5	50	52.05	76	4901.5	40	41.01
226	1	12	231	231	12	15	79	7318.5	34	40.45	78	5263	33	32.19
227	1	12	160	160	12	14	79	5350.5	48	48.46	77	3903.5	43	38.71
228	1	12	146	146	12	13	73	5224	46	42.32	73	4480	39	37.11
229	1	12	187	187	12	12	78	4763	47	52.24	77	3735	44	43.04
230	1	12	23	23	12	11	80	6340	63	38.7	79	4633.5	54	31.62
231	1	12	254	254	12	10	80	2987	48	48.75	77	2426	51	37.57
232	1	12	158	158	12	9	76	5438.5	35	54.86	77	3231	31	47.16
233	1	12	265	265	12	8	82	6731.5	42	39.36	80	3851.5	38	33.81
234	1	12	172	172	12	7	76	6581.5	46	52.3	76	4080	40	45.48
235	1	12	308	308	12	6	77	7127	36	42.93	76	4227.5	33	34.49
236	1	12	256	256	12	5	79	6796	34	43.64	78	4612	33	35.12
237	1	12	42	42	12	4	75	5425	49	44.67	75	3895	43	36.29
238	1	12	211	211	12	3	83	6325.5	39	39.97	81	3540	33	30.82
239	1	12	108	108	12	2	78	6220	44	45.76	78	3772	40	38.84
240	1	12	208	208	12	1	78	2239.5	53	46.57	79	1091.5	42	38.87
241	1	13	67	67	13	1	76	6967.5	48	52.57	75	3791.5	36	42.4
242	1	13	344	344	13	2	82	5792.5	44	40	81	3390	35	31.18
243	1	13	173	173	13	3	79	5606.5	48	42.39	77	3169	40	36
244	1	13	34	34	13	4	77	6671	55	47.69	77	3543	49	39.09
245	1	13	176	176	13	5	76	7032	45	48.17	75	3685	38	38.7
